
Calculating interesting DoY/DoM divisors for a normal year

DoY 	 Mo. 	 Day 	 Interesting divisor
72 	 Mar 	 13 	  	 
73 	 Mar 	 14 	  	 
74 	 Mar 	 15 	  	 
75 	 Mar 	 16 	  	 
76 	 Mar 	 17 	  	 
77 	 Mar 	 18 	  	 
78 	 Mar 	 19 	  	 
79 	 Mar 	 20 	  	 
80 	 Mar 	 21 	  	 
81 	 Mar 	 22 	  	 
82 	 Mar 	 23 	  	 
83 	 Mar 	 24 	  	 
84 	 Mar 	 25 	  	 
85 	 Mar 	 26 	  	 
86 	 Mar 	 27 	  	 
87 	 Mar 	 28 	  	 
88 	 Mar 	 29 	  	 
89 	 Mar 	 30 	  	 
90 	 Mar 	 31 	  	 
91 	 Apr 	 1 	  	 
92 	 Apr 	 2 	 * 	 46
93 	 Apr 	 3 	 * 	 31
94 	 Apr 	 4 	  	 
95 	 Apr 	 5 	 * 	 19
96 	 Apr 	 6 	 * 	 16
97 	 Apr 	 7 	  	 
98 	 Apr 	 8 	  	 
99 	 Apr 	 9 	 * 	 11
100 	 Apr 	 10 	 *** 	 10
101 	 Apr 	 11 	  	 
102 	 Apr 	 12 	  	 
103 	 Apr 	 13 	  	 
104 	 Apr 	 14 	  	 
105 	 Apr 	 15 	 * 	 7
106 	 Apr 	 16 	  	 
107 	 Apr 	 17 	  	 
108 	 Apr 	 18 	 * 	 6
109 	 Apr 	 19 	  	 
110 	 Apr 	 20 	  	 
111 	 Apr 	 21 	  	 
112 	 Apr 	 22 	  	 
113 	 Apr 	 23 	  	 
114 	 Apr 	 24 	  	 
115 	 Apr 	 25 	  	 
116 	 Apr 	 26 	  	 
117 	 Apr 	 27 	  	 
118 	 Apr 	 28 	  	 
119 	 Apr 	 29 	  	 
120 	 Apr 	 30 	 * 	 4
121 	 May 	 1 	  	 
122 	 May 	 2 	 * 	 61
123 	 May 	 3 	 * 	 41
124 	 May 	 4 	 * 	 31
125 	 May 	 5 	 * 	 25
126 	 May 	 6 	 * 	 21
127 	 May 	 7 	  	 
128 	 May 	 8 	 * 	 16
129 	 May 	 9 	  	 
130 	 May 	 10 	 * 	 13
131 	 May 	 11 	  	 
132 	 May 	 12 	 * 	 11
133 	 May 	 13 	  	 
134 	 May 	 14 	  	 
135 	 May 	 15 	 * 	 9
136 	 May 	 16 	  	 
137 	 May 	 17 	  	 
138 	 May 	 18 	  	 
139 	 May 	 19 	  	 
140 	 May 	 20 	 * 	 7
141 	 May 	 21 	  	 
142 	 May 	 22 	  	 
143 	 May 	 23 	  	 
144 	 May 	 24 	 * 	 6
145 	 May 	 25 	  	 
146 	 May 	 26 	  	 
147 	 May 	 27 	  	 
148 	 May 	 28 	  	 
149 	 May 	 29 	  	 
150 	 May 	 30 	 * 	 5
151 	 May 	 31 	  	 
152 	 Jun 	 1 	  	 
153 	 Jun 	 2 	  	 
154 	 Jun 	 3 	  	 
155 	 Jun 	 4 	  	 
156 	 Jun 	 5 	  	 
157 	 Jun 	 6 	  	 
158 	 Jun 	 7 	  	 
159 	 Jun 	 8 	  	 
160 	 Jun 	 9 	  	 
161 	 Jun 	 10 	  	 
162 	 Jun 	 11 	  	 
163 	 Jun 	 12 	  	 
164 	 Jun 	 13 	  	 
165 	 Jun 	 14 	  	 
166 	 Jun 	 15 	  	 
167 	 Jun 	 16 	  	 
168 	 Jun 	 17 	  	 
169 	 Jun 	 18 	  	 
170 	 Jun 	 19 	  	 
171 	 Jun 	 20 	  	 
172 	 Jun 	 21 	  	 
173 	 Jun 	 22 	  	 
174 	 Jun 	 23 	  	 
175 	 Jun 	 24 	  	 
176 	 Jun 	 25 	  	 
177 	 Jun 	 26 	  	 
178 	 Jun 	 27 	  	 
179 	 Jun 	 28 	  	 
180 	 Jun 	 29 	  	 
181 	 Jun 	 30 	  	 
182 	 Jul 	 1 	  	 
183 	 Jul 	 2 	  	 
184 	 Jul 	 3 	  	 
185 	 Jul 	 4 	  	 
186 	 Jul 	 5 	  	 
187 	 Jul 	 6 	  	 
188 	 Jul 	 7 	  	 
189 	 Jul 	 8 	  	 
190 	 Jul 	 9 	  	 
191 	 Jul 	 10 	  	 
192 	 Jul 	 11 	  	 
193 	 Jul 	 12 	  	 
194 	 Jul 	 13 	  	 
195 	 Jul 	 14 	  	 
196 	 Jul 	 15 	  	 
197 	 Jul 	 16 	  	 
198 	 Jul 	 17 	  	 
199 	 Jul 	 18 	  	 
200 	 Jul 	 19 	  	 
201 	 Jul 	 20 	  	 
202 	 Jul 	 21 	  	 
203 	 Jul 	 22 	  	 
204 	 Jul 	 23 	  	 
205 	 Jul 	 24 	  	 
206 	 Jul 	 25 	  	 
207 	 Jul 	 26 	  	 
208 	 Jul 	 27 	  	 
209 	 Jul 	 28 	  	 
210 	 Jul 	 29 	  	 
211 	 Jul 	 30 	  	 
212 	 Jul 	 31 	  	 
213 	 Aug 	 1 	  	 
214 	 Aug 	 2 	 * 	 107
215 	 Aug 	 3 	  	 
216 	 Aug 	 4 	 * 	 54
217 	 Aug 	 5 	  	 
218 	 Aug 	 6 	  	 
219 	 Aug 	 7 	  	 
220 	 Aug 	 8 	  	 
221 	 Aug 	 9 	  	 
222 	 Aug 	 10 	  	 
223 	 Aug 	 11 	  	 
224 	 Aug 	 12 	  	 
225 	 Aug 	 13 	  	 
226 	 Aug 	 14 	  	 
227 	 Aug 	 15 	  	 
228 	 Aug 	 16 	  	 
229 	 Aug 	 17 	  	 
230 	 Aug 	 18 	  	 
231 	 Aug 	 19 	  	 
232 	 Aug 	 20 	  	 
233 	 Aug 	 21 	  	 
234 	 Aug 	 22 	  	 
235 	 Aug 	 23 	  	 
236 	 Aug 	 24 	  	 
237 	 Aug 	 25 	  	 
238 	 Aug 	 26 	  	 
239 	 Aug 	 27 	  	 
240 	 Aug 	 28 	  	 
241 	 Aug 	 29 	  	 
242 	 Aug 	 30 	  	 
243 	 Aug 	 31 	  	 
244 	 Sep 	 1 	  	 
245 	 Sep 	 2 	  	 
246 	 Sep 	 3 	 * 	 82
247 	 Sep 	 4 	  	 
248 	 Sep 	 5 	  	 
249 	 Sep 	 6 	  	 
250 	 Sep 	 7 	  	 
251 	 Sep 	 8 	  	 
252 	 Sep 	 9 	 * 	 28
253 	 Sep 	 10 	  	 
254 	 Sep 	 11 	  	 
255 	 Sep 	 12 	  	 
256 	 Sep 	 13 	  	 
257 	 Sep 	 14 	  	 
258 	 Sep 	 15 	  	 
259 	 Sep 	 16 	  	 
260 	 Sep 	 17 	  	 
261 	 Sep 	 18 	  	 
262 	 Sep 	 19 	  	 
263 	 Sep 	 20 	  	 
264 	 Sep 	 21 	  	 
265 	 Sep 	 22 	  	 
266 	 Sep 	 23 	  	 
267 	 Sep 	 24 	  	 
268 	 Sep 	 25 	  	 
269 	 Sep 	 26 	  	 
270 	 Sep 	 27 	 *** 	 10
271 	 Sep 	 28 	  	 
272 	 Sep 	 29 	  	 
273 	 Sep 	 30 	  	 
274 	 Oct 	 1 	  	 
275 	 Oct 	 2 	  	 
276 	 Oct 	 3 	 * 	 92
277 	 Oct 	 4 	  	 
278 	 Oct 	 5 	  	 
279 	 Oct 	 6 	  	 
280 	 Oct 	 7 	 * 	 40
281 	 Oct 	 8 	  	 
282 	 Oct 	 9 	  	 
283 	 Oct 	 10 	  	 
284 	 Oct 	 11 	  	 
285 	 Oct 	 12 	  	 
286 	 Oct 	 13 	 * 	 22
287 	 Oct 	 14 	  	 
288 	 Oct 	 15 	  	 
289 	 Oct 	 16 	  	 
290 	 Oct 	 17 	  	 
291 	 Oct 	 18 	  	 
292 	 Oct 	 19 	  	 
293 	 Oct 	 20 	  	 
294 	 Oct 	 21 	 * 	 14
295 	 Oct 	 22 	  	 
296 	 Oct 	 23 	  	 
297 	 Oct 	 24 	  	 
298 	 Oct 	 25 	  	 
299 	 Oct 	 26 	  	 
300 	 Oct 	 27 	  	 
301 	 Oct 	 28 	  	 
302 	 Oct 	 29 	  	 
303 	 Oct 	 30 	  	 
304 	 Oct 	 31 	  	 
305 	 Nov 	 1 	  	 
306 	 Nov 	 2 	 * 	 153
307 	 Nov 	 3 	  	 
308 	 Nov 	 4 	 * 	 77
309 	 Nov 	 5 	  	 
310 	 Nov 	 6 	  	 
311 	 Nov 	 7 	  	 
312 	 Nov 	 8 	 * 	 39
313 	 Nov 	 9 	  	 
314 	 Nov 	 10 	  	 
315 	 Nov 	 11 	  	 
316 	 Nov 	 12 	  	 
317 	 Nov 	 13 	  	 
318 	 Nov 	 14 	  	 
319 	 Nov 	 15 	  	 
320 	 Nov 	 16 	 * 	 20
321 	 Nov 	 17 	  	 
322 	 Nov 	 18 	  	 
323 	 Nov 	 19 	 * 	 17
324 	 Nov 	 20 	  	 
325 	 Nov 	 21 	  	 
326 	 Nov 	 22 	  	 
327 	 Nov 	 23 	  	 
328 	 Nov 	 24 	  	 
329 	 Nov 	 25 	  	 
330 	 Nov 	 26 	  	 
331 	 Nov 	 27 	  	 
332 	 Nov 	 28 	  	 
333 	 Nov 	 29 	  	 
334 	 Nov 	 30 	  	 
335 	 Dec 	 1 	  	 
336 	 Dec 	 2 	 * 	 168
337 	 Dec 	 3 	  	 
338 	 Dec 	 4 	  	 
339 	 Dec 	 5 	  	 
340 	 Dec 	 6 	  	 
341 	 Dec 	 7 	  	 
342 	 Dec 	 8 	  	 
343 	 Dec 	 9 	  	 
344 	 Dec 	 10 	  	 
345 	 Dec 	 11 	  	 
346 	 Dec 	 12 	  	 
347 	 Dec 	 13 	  	 
348 	 Dec 	 14 	  	 
349 	 Dec 	 15 	  	 
350 	 Dec 	 16 	  	 
351 	 Dec 	 17 	  	 
352 	 Dec 	 18 	  	 
353 	 Dec 	 19 	  	 
354 	 Dec 	 20 	  	 
355 	 Dec 	 21 	  	 
356 	 Dec 	 22 	  	 
357 	 Dec 	 23 	  	 
358 	 Dec 	 24 	  	 
359 	 Dec 	 25 	  	 
360 	 Dec 	 26 	  	 
361 	 Dec 	 27 	  	 
362 	 Dec 	 28 	  	 
363 	 Dec 	 29 	  	 
364 	 Dec 	 30 	  	 
365 	 Dec 	 31 	  	 
