
Calculating interesting DoY/DoM divisors for a leap year

DoY 	 Mo. 	 Day 	 Interesting divisor
71 	 Mar 	 11 	  	 
72 	 Mar 	 12 	 * 	 6
73 	 Mar 	 13 	  	 
74 	 Mar 	 14 	  	 
75 	 Mar 	 15 	 * 	 5
76 	 Mar 	 16 	  	 
77 	 Mar 	 17 	  	 
78 	 Mar 	 18 	  	 
79 	 Mar 	 19 	  	 
80 	 Mar 	 20 	 * 	 4
81 	 Mar 	 21 	  	 
82 	 Mar 	 22 	  	 
83 	 Mar 	 23 	  	 
84 	 Mar 	 24 	  	 
85 	 Mar 	 25 	  	 
86 	 Mar 	 26 	  	 
87 	 Mar 	 27 	  	 
88 	 Mar 	 28 	  	 
89 	 Mar 	 29 	  	 
90 	 Mar 	 30 	 * 	 3
91 	 Mar 	 31 	  	 
92 	 Apr 	 1 	  	 
93 	 Apr 	 2 	  	 
94 	 Apr 	 3 	  	 
95 	 Apr 	 4 	  	 
96 	 Apr 	 5 	  	 
97 	 Apr 	 6 	  	 
98 	 Apr 	 7 	 * 	 14
99 	 Apr 	 8 	  	 
100 	 Apr 	 9 	  	 
101 	 Apr 	 10 	  	 
102 	 Apr 	 11 	  	 
103 	 Apr 	 12 	  	 
104 	 Apr 	 13 	 * 	 8
105 	 Apr 	 14 	  	 
106 	 Apr 	 15 	  	 
107 	 Apr 	 16 	  	 
108 	 Apr 	 17 	  	 
109 	 Apr 	 18 	  	 
110 	 Apr 	 19 	  	 
111 	 Apr 	 20 	  	 
112 	 Apr 	 21 	  	 
113 	 Apr 	 22 	  	 
114 	 Apr 	 23 	  	 
115 	 Apr 	 24 	  	 
116 	 Apr 	 25 	  	 
117 	 Apr 	 26 	  	 
118 	 Apr 	 27 	  	 
119 	 Apr 	 28 	  	 
120 	 Apr 	 29 	  	 
121 	 Apr 	 30 	  	 
122 	 May 	 1 	  	 
123 	 May 	 2 	  	 
124 	 May 	 3 	  	 
125 	 May 	 4 	  	 
126 	 May 	 5 	  	 
127 	 May 	 6 	  	 
128 	 May 	 7 	  	 
129 	 May 	 8 	  	 
130 	 May 	 9 	  	 
131 	 May 	 10 	  	 
132 	 May 	 11 	 * 	 12
133 	 May 	 12 	  	 
134 	 May 	 13 	  	 
135 	 May 	 14 	  	 
136 	 May 	 15 	  	 
137 	 May 	 16 	  	 
138 	 May 	 17 	  	 
139 	 May 	 18 	  	 
140 	 May 	 19 	  	 
141 	 May 	 20 	  	 
142 	 May 	 21 	  	 
143 	 May 	 22 	  	 
144 	 May 	 23 	  	 
145 	 May 	 24 	  	 
146 	 May 	 25 	  	 
147 	 May 	 26 	  	 
148 	 May 	 27 	  	 
149 	 May 	 28 	  	 
150 	 May 	 29 	  	 
151 	 May 	 30 	  	 
152 	 May 	 31 	  	 
153 	 Jun 	 1 	  	 
154 	 Jun 	 2 	 * 	 77
155 	 Jun 	 3 	  	 
156 	 Jun 	 4 	 * 	 39
157 	 Jun 	 5 	  	 
158 	 Jun 	 6 	  	 
159 	 Jun 	 7 	  	 
160 	 Jun 	 8 	 * 	 20
161 	 Jun 	 9 	  	 
162 	 Jun 	 10 	  	 
163 	 Jun 	 11 	  	 
164 	 Jun 	 12 	  	 
165 	 Jun 	 13 	  	 
166 	 Jun 	 14 	  	 
167 	 Jun 	 15 	  	 
168 	 Jun 	 16 	  	 
169 	 Jun 	 17 	  	 
170 	 Jun 	 18 	  	 
171 	 Jun 	 19 	 * 	 9
172 	 Jun 	 20 	  	 
173 	 Jun 	 21 	  	 
174 	 Jun 	 22 	  	 
175 	 Jun 	 23 	  	 
176 	 Jun 	 24 	  	 
177 	 Jun 	 25 	  	 
178 	 Jun 	 26 	  	 
179 	 Jun 	 27 	  	 
180 	 Jun 	 28 	  	 
181 	 Jun 	 29 	  	 
182 	 Jun 	 30 	  	 
183 	 Jul 	 1 	  	 
184 	 Jul 	 2 	 * 	 92
185 	 Jul 	 3 	  	 
186 	 Jul 	 4 	  	 
187 	 Jul 	 5 	  	 
188 	 Jul 	 6 	  	 
189 	 Jul 	 7 	 * 	 27
190 	 Jul 	 8 	  	 
191 	 Jul 	 9 	  	 
192 	 Jul 	 10 	  	 
193 	 Jul 	 11 	  	 
194 	 Jul 	 12 	  	 
195 	 Jul 	 13 	 * 	 15
196 	 Jul 	 14 	 * 	 14
197 	 Jul 	 15 	  	 
198 	 Jul 	 16 	  	 
199 	 Jul 	 17 	  	 
200 	 Jul 	 18 	  	 
201 	 Jul 	 19 	  	 
202 	 Jul 	 20 	  	 
203 	 Jul 	 21 	  	 
204 	 Jul 	 22 	  	 
205 	 Jul 	 23 	  	 
206 	 Jul 	 24 	  	 
207 	 Jul 	 25 	  	 
208 	 Jul 	 26 	 * 	 8
209 	 Jul 	 27 	  	 
210 	 Jul 	 28 	  	 
211 	 Jul 	 29 	  	 
212 	 Jul 	 30 	  	 
213 	 Jul 	 31 	  	 
214 	 Aug 	 1 	  	 
215 	 Aug 	 2 	  	 
216 	 Aug 	 3 	 * 	 72
217 	 Aug 	 4 	  	 
218 	 Aug 	 5 	  	 
219 	 Aug 	 6 	  	 
220 	 Aug 	 7 	  	 
221 	 Aug 	 8 	  	 
222 	 Aug 	 9 	  	 
223 	 Aug 	 10 	  	 
224 	 Aug 	 11 	  	 
225 	 Aug 	 12 	  	 
226 	 Aug 	 13 	  	 
227 	 Aug 	 14 	  	 
228 	 Aug 	 15 	  	 
229 	 Aug 	 16 	  	 
230 	 Aug 	 17 	  	 
231 	 Aug 	 18 	  	 
232 	 Aug 	 19 	  	 
233 	 Aug 	 20 	  	 
234 	 Aug 	 21 	  	 
235 	 Aug 	 22 	  	 
236 	 Aug 	 23 	  	 
237 	 Aug 	 24 	  	 
238 	 Aug 	 25 	  	 
239 	 Aug 	 26 	  	 
240 	 Aug 	 27 	  	 
241 	 Aug 	 28 	  	 
242 	 Aug 	 29 	  	 
243 	 Aug 	 30 	  	 
244 	 Aug 	 31 	  	 
245 	 Sep 	 1 	  	 
246 	 Sep 	 2 	 * 	 123
247 	 Sep 	 3 	  	 
248 	 Sep 	 4 	 * 	 62
249 	 Sep 	 5 	  	 
250 	 Sep 	 6 	  	 
251 	 Sep 	 7 	  	 
252 	 Sep 	 8 	  	 
253 	 Sep 	 9 	  	 
254 	 Sep 	 10 	  	 
255 	 Sep 	 11 	  	 
256 	 Sep 	 12 	  	 
257 	 Sep 	 13 	  	 
258 	 Sep 	 14 	  	 
259 	 Sep 	 15 	  	 
260 	 Sep 	 16 	  	 
261 	 Sep 	 17 	  	 
262 	 Sep 	 18 	  	 
263 	 Sep 	 19 	  	 
264 	 Sep 	 20 	  	 
265 	 Sep 	 21 	  	 
266 	 Sep 	 22 	  	 
267 	 Sep 	 23 	  	 
268 	 Sep 	 24 	  	 
269 	 Sep 	 25 	  	 
270 	 Sep 	 26 	  	 
271 	 Sep 	 27 	  	 
272 	 Sep 	 28 	  	 
273 	 Sep 	 29 	  	 
274 	 Sep 	 30 	  	 
275 	 Oct 	 1 	  	 
276 	 Oct 	 2 	 * 	 138
277 	 Oct 	 3 	  	 
278 	 Oct 	 4 	  	 
279 	 Oct 	 5 	  	 
280 	 Oct 	 6 	  	 
281 	 Oct 	 7 	  	 
282 	 Oct 	 8 	  	 
283 	 Oct 	 9 	  	 
284 	 Oct 	 10 	  	 
285 	 Oct 	 11 	  	 
286 	 Oct 	 12 	  	 
287 	 Oct 	 13 	  	 
288 	 Oct 	 14 	  	 
289 	 Oct 	 15 	  	 
290 	 Oct 	 16 	  	 
291 	 Oct 	 17 	  	 
292 	 Oct 	 18 	  	 
293 	 Oct 	 19 	  	 
294 	 Oct 	 20 	  	 
295 	 Oct 	 21 	  	 
296 	 Oct 	 22 	  	 
297 	 Oct 	 23 	  	 
298 	 Oct 	 24 	  	 
299 	 Oct 	 25 	  	 
300 	 Oct 	 26 	  	 
301 	 Oct 	 27 	  	 
302 	 Oct 	 28 	  	 
303 	 Oct 	 29 	  	 
304 	 Oct 	 30 	  	 
305 	 Oct 	 31 	  	 
306 	 Nov 	 1 	  	 
307 	 Nov 	 2 	  	 
308 	 Nov 	 3 	  	 
309 	 Nov 	 4 	  	 
310 	 Nov 	 5 	 * 	 62
311 	 Nov 	 6 	  	 
312 	 Nov 	 7 	  	 
313 	 Nov 	 8 	  	 
314 	 Nov 	 9 	  	 
315 	 Nov 	 10 	  	 
316 	 Nov 	 11 	  	 
317 	 Nov 	 12 	  	 
318 	 Nov 	 13 	  	 
319 	 Nov 	 14 	  	 
320 	 Nov 	 15 	  	 
321 	 Nov 	 16 	  	 
322 	 Nov 	 17 	  	 
323 	 Nov 	 18 	  	 
324 	 Nov 	 19 	  	 
325 	 Nov 	 20 	  	 
326 	 Nov 	 21 	  	 
327 	 Nov 	 22 	  	 
328 	 Nov 	 23 	  	 
329 	 Nov 	 24 	  	 
330 	 Nov 	 25 	  	 
331 	 Nov 	 26 	  	 
332 	 Nov 	 27 	  	 
333 	 Nov 	 28 	  	 
334 	 Nov 	 29 	  	 
335 	 Nov 	 30 	  	 
336 	 Dec 	 1 	  	 
337 	 Dec 	 2 	  	 
338 	 Dec 	 3 	  	 
339 	 Dec 	 4 	  	 
340 	 Dec 	 5 	 * 	 68
341 	 Dec 	 6 	  	 
342 	 Dec 	 7 	  	 
343 	 Dec 	 8 	  	 
344 	 Dec 	 9 	  	 
345 	 Dec 	 10 	  	 
346 	 Dec 	 11 	  	 
347 	 Dec 	 12 	  	 
348 	 Dec 	 13 	  	 
349 	 Dec 	 14 	  	 
350 	 Dec 	 15 	  	 
351 	 Dec 	 16 	  	 
352 	 Dec 	 17 	  	 
353 	 Dec 	 18 	  	 
354 	 Dec 	 19 	  	 
355 	 Dec 	 20 	  	 
356 	 Dec 	 21 	  	 
357 	 Dec 	 22 	  	 
358 	 Dec 	 23 	  	 
359 	 Dec 	 24 	  	 
360 	 Dec 	 25 	  	 
361 	 Dec 	 26 	  	 
362 	 Dec 	 27 	  	 
363 	 Dec 	 28 	  	 
364 	 Dec 	 29 	  	 
365 	 Dec 	 30 	  	 
